@params:Chorus Amount|Chorus On|Chorus Rate|Cut On|Decay Time|Density|Diffuse Level|Diffusion|Dry/Wet|ER Shape|ER Spin Amount|ER Spin On|ER Spin Rate|Flat On|Freeze On|HiFilter Freq|HiFilter On|HiFilter Type|HiShelf Gain|In Filter Freq|In Filter Width|In HighCut On|In LowCut On|LowShelf Freq|LowShelf Gain|LowShelf On|Predelay|Reflect Level|Room Size|Scale|Size Smoothing|Stereo Image
Marble Lobby:0.03654525429010391|1.0|0.8181818127632141|0.0|0.6140748858451843|0.0|0.9883594512939453|0.9682539701461792|0.20000000298023224|0.800000011920929|0.1458333283662796|1.0|0.5909091234207153|0.0|0.0|0.2551020383834839|1.0|0.0|0.4583333432674408|0.5511810183525085|0.4375|1.0|1.0|0.30612245202064514|0.0416666641831398|1.0|0.19685038924217224|1.0|0.1506003737449646|0.8809524178504944|2.0|0.8968333601951599
Medium Concert:0.18546363711357117|1.0|0.4690614938735962|1.0|0.48736369609832764|3.0|0.49356332421302795|0.6246089935302734|1.0|0.5|0.4468085467815399|1.0|0.3086419999599457|1.0|0.0|0.8102340698242188|1.0|0.0|0.3374999761581421|0.47729402780532837|0.6294117569923401|1.0|0.0|0.539130449295044|0.14893615245819092|1.0|0.7077953219413757|0.666791558265686|0.7915151119232178|0.3684210479259491|2.0|0.8333333134651184
Medium Hall:0.22166095674037933|1.0|0.4848484694957733|0.0|0.4204045236110687|3.0|0.49356332421302795|0.20750781893730164|1.0|1.0|0.5833333134651184|0.0|0.40909090638160706|0.0|0.0|0.8046875|1.0|0.0|0.625|0.7272727489471436|0.4166666567325592|1.0|0.0|0.2271994799375534|0.6875|0.0|0.6836305260658264|0.49356332421302795|0.7626093626022339|0.2631579041481018|2.0|0.8333333134651184
Medium Room:0.002506265649572015|0.0|0.10369296371936798|1.0|0.3174603581428528|3.0|0.4920635521411896|1.0|1.0|0.2539682686328888|0.7291666865348816|1.0|0.1363636702299118|1.0|0.0|0.8124999403953552|1.0|0.0|0.7578125|0.7578124403953552|0.4166666567325592|0.0|0.0|0.2271994799375534|0.6875|0.0|0.4461403787136078|0.7034740447998047|0.28475576639175415|1.0|2.0|0.8333333134651184
Medium Stage:0.002506265649572015|0.0|0.10369296371936798|0.0|0.3645723760128021|3.0|0.49356332421302795|0.3117831349372864|1.0|1.0|0.5833333134651184|0.0|0.40909090638160706|0.0|0.0|0.693877637386322|1.0|0.0|0.5833333730697632|0.6818181276321411|0.4375|1.0|0.0|0.19387756288051605|0.7291666865348816|1.0|0.5113844871520996|0.7034740447998047|0.635553777217865|0.5789473652839661|2.0|0.8333333134651184
Museum Lobby:0.03759398311376572|1.0|0.8181818127632141|0.0|0.5118110179901123|0.0|0.9542872309684753|0.8957247734069824|0.20000000298023224|0.8600000143051147|0.1458333283662796|1.0|0.027201684191823006|0.0|0.0|0.5918367505073547|1.0|0.0|0.3124999701976776|0.5282034873962402|0.4588235318660736|1.0|1.0|0.5510203838348389|0.0|1.0|0.5472907423973083|0.8588553071022034|0.3779527246952057|0.9473683834075928|2.0|1.0
Office:0.002506265649572015|0.0|0.10369296371936798|1.0|0.1926112174987793|3.0|0.7034740447998047|0.36392074823379517|1.0|0.5|0.4166666865348816|0.0|0.2878788411617279|1.0|0.0|0.8163265585899353|1.0|0.0|0.4375000298023224|0.6363636255264282|0.5625|1.0|0.0|0.2271994799375534|0.6875|0.0|0.4461406171321869|1.0|0.5693818926811218|1.0|2.0|0.8333333134651184
Oil Barrel:0.15164367854595184|0.0|0.3333333432674408|0.0|0.365079402923584|3.0|0.3449578881263733|0.7777777910232544|1.0|1.0|0.7291666865348816|0.0|0.1363636702299118|0.0|0.0|0.8571429252624512|1.0|0.0|0.5833333730697632|0.7575756907463074|0.8541666269302368|0.0|0.0|0.2271994799375534|0.6875|0.0|0.4461406171321869|0.3449578881263733|0.0|0.317460298538208|2.0|0.8333333134651184
Outer Space:1.0|0.0|0.9545454382896423|0.0|0.6269841194152832|3.0|0.3449578881263733|1.0|1.0|1.0|0.8125|0.0|0.5606061220169067|0.0|0.0|0.8775510191917419|1.0|0.0|0.0|0.560606062412262|0.8333333730697632|1.0|1.0|0.30612245202064514|0.0|1.0|0.5113844871520996|0.0|0.0|0.261904776096344|2.0|1.0
Parallel Walls:0.15164367854595184|0.0|0.3333333432674408|0.0|0.24304825067520142|3.0|0.3449578881263733|0.0|1.0|1.0|0.7291666865348816|0.0|0.1363636702299118|0.0|0.0|0.8775510191917419|1.0|0.0|0.6041666865348816|0.9090908765792847|0.6875|1.0|0.0|0.2271994799375534|0.6875|0.0|0.8166523575782776|1.0|0.0|1.0|2.0|1.0
